1650,3,2.93E+05
1650,3,2.93E+05
1650,3,2.93E+05
1650,3,2.93E+05
1650,2,2.93E+05
1650,4,2.93E+05
1650,4,2.93E+05
1650,3,2.93E+05
1650,3,2.93E+05
1650,3,2.93E+05
1650,3,2.93E+05
1650,4,2.93E+05
1650,3,2.93E+05
1650,3,2.93E+05
1650,5,2.93E+05
1650,3,2.93E+05
1650,4,2.93E+05
1650,2,2.93E+05
1650,3,2.93E+05
1650,4,2.93E+05
1650,4,2.93E+05
1650,3,2.93E+05
1650,2,2.93E+05
1650,3,2.93E+05
1650,4,2.93E+05
1650,3,2.93E+05
1650,3,2.93E+05
1650,3,2.93E+05
1650,3,2.93E+05
1650,3,2.93E+05
1650,3,2.93E+05
1650,2,2.93E+05
1650,1,2.93E+05
1650,4,2.93E+05
1650,3,2.93E+05
1650,4,2.93E+05
1650,3,2.93E+05
1650,3,2.93E+05
1650,4,2.93E+05
1650,4,2.93E+05
1650,4,2.93E+05
1650,2,2.93E+05
1650,3,2.93E+05
1650,4,2.93E+05
1650,3,2.93E+05
1650,2,2.93E+05
1650,4,2.93E+05
